person_x,kinsman,person_gender,kinsman_gender,ontology_kinship
"Aaron, brother of Alousianos","Alousianos, son of Ioannes/John Vladislav",Male,Male,FatherOf
Emperor Konstantinos VIII,Emperor Romanos II,Male,,SonOf
"Aaron, brother of Alousianos","John Vladislav, ruler of Bulgaria",Male,Male,SonOf
"Adrianos Komnenos, brother of Alexios I",Anna Dalassene,Male,Female,SonOf
"Akindynos, tax-payer at chorion of Dobrobikeia","Kaletza, mother of tax-payer at Dobrobikeia",Male,Female,SonOf
"'Allaf, son of Hassan ibn al-Mufarrij",Hassan ibn al-Mufarrij ibn al-Jarrah (Pinzarach),Male,Male,SonOf
Emperor Alexios I Komnenos,Anna Dalassene,Male,Female,SonOf
Emperor Alexios I Komnenos,"Ioannes Komnenos, father of Alexios I",Male,Male,SonOf
"Amer, son of the ruler of Aleppo",Arab ruler of Aleppo,Male,Male,SonOf
"Amer, son of the ruler of Aleppo",Arab ruler of Aleppo (Salih b. Mirdas?),Male,Male,SonOf
"Andronikos Doukas, son of the kaisar Ioannes","Ioannes Doukas, kaisar",Male,Male,SonOf
"Andronikos Doukas, brother of Michael VII",Emperor Konstantinos X Doukas,Male,Male,SonOf
"Andronikos Doukas, brother of Michael VII",Empress Eudokia Makrembolitissa,Male,Female,SonOf
"Niketas, synkellos and chartophylax, son of Koronis","Koronis, mother of Niketas chartophylax and synkellos",,,SonOf
"(Ioannes) Bryennios the patrikios, father of the kaisar",Nikephoros Bryennios usurper [1077],Male,Male,SonOf
child (son?) of Romanos IV,Emperor Romanos IV Diogenes,Male,Male,SonOf
Seljuk sultan (Malik-shah?),Seljuk sultan (Alp Arslan?),Male,Male,SonOf
"son of Aleim, the commander of the fort of Berkrin","Aleim, Arab commander of the fort of Berkri",Male,Male,SonOf
son of amir of Sicily Apolaphar Mouchoumet,"Ahmad al-Akhal, amir of Sicily",Male,Male,SonOf
"son of Amer, amir of Egypt","wife of Amer, amir of Egypt",Male,Female,SonOf
"son of Amer, amir of Egypt","Amer, amir of Egypt",Male,Male,SonOf
"Boioannes, katepano of Italy in 1040s","Basileios Boioannes, katepano of Italy in 1020s",Male,Male,SonOf
"son of Theodosios Monomachos, cousin of Konstantinos IX","Theodosios Monomachos, cousin of Konstantinos IX",Male,Male,SonOf
"Kekaumenos, author of the Strategikon",mother of Kekaumenos,Male,Female,SonOf
"Kekaumenos, author of the Strategikon",father of Kekaumenos (the author),Male,Male,SonOf
son of Voislav Stefan,"Voislav Stefan, ruler of the Serbians",Male,Male,SonOf
son of Katakalon Klazomenites,"Katakalon Klazomenites, strategos of Ragusa",Male,Male,SonOf
son of Kekaumenos,"Kekaumenos, author of the Strategikon",Male,Male,SonOf
"son of Dobronas, ruler of Zara and Salona","Dobronas, ruler of Zadar and Split",Male,Male,SonOf
"Artaseiras, nephew of Aplesphares of Dvin","Phatloum, brother of Aplesphares of Dvin",Male,Male,SonOf
"Asan the Deaf, nephew of Tughrul Beg",brother of Tughrul Beg (Baihnu Israil Arslan?),Male,Male,SonOf
"Bagrat IV, king of Georgia","Mariam, wife of Giorgi I of Abchasia/Georgia",Male,Female,SonOf
"Bagrat IV, king of Georgia",wife of Giorgi (I?) of Abchasia (Maria?),Male,Female,SonOf
"Bagrat IV, king of Georgia","Georgios/Giorgi I, king of Abchasia and Georgia",Male,Male,SonOf
"Baltzar, son of Kegen","Kegen, Pecheneg leader",Male,Male,SonOf
Bardas Phokas the younger,"Nikephoros Phokas, son of Bardas Phokas",Male,Male,SonOf
"Basileios Apokapes, doux of Edessa","Michael Apokapes, commander of Edessa",Male,Male,SonOf
"Basileios Skleros, son of Romanos Skleros","Romanos Skleros, father of Basileios",Male,Male,SonOf
"Basileios, son of Semne, a servant of Eustathios Boilas","Semne, servant of Eustathios Boilas",Male,Female,SonOf
"Basileios, tax-payer at chorion of Dobrobikeia","Demetrios, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Basileios Teknodotes, protokentarchos of the strategos of Serres","Teknodotes, father of protokentarchos Basileios",Male,Male,SonOf
"Basileios Psellos, donor to Iveron","Georgios/Gregorios Psellos, father of Iveron donor Basileios",Male,Male,SonOf
"Basileios Psellos, donor to Iveron","Kale, wife of Georgios/Gregorios Psellos",Male,Female,SonOf
Bohemond of Taranto,Robert Guiscard,Male,Male,SonOf
"Christophoros, chartoularios of the oikonomeion of Hagia Sophia","Disypatos, father of the chartoularios Christophoros",Male,Male,SonOf
"Demetrios, son of Giorgi I of Abchasia/Georgia","Alde, wife of Giorgi I of Abchasia/Georgia",Male,Female,SonOf
"Demetrios, paroikos of Iveron","Samuel, father of a paroikos of Iveron",Male,Male,SonOf
"Demetrios, donor to Iveron","Maria, sister of Basileios and Merotas Psellos",Male,Female,SonOf
"Demetrios, paroikos of the proasteion of Eunouchou (Strymon)","widow, mother of the paroikos of Eunouchou Demetrios",Male,Female,SonOf
Eustathios Boilas,father of Eustathios Boilas,Male,Male,SonOf
Eustathios Boilas,mother of Eustathios Boilas,Male,Female,SonOf
"Gagik II, king of Armenia","Ashot IV the Brave, king of Armenia",Male,Male,SonOf
Georgios Palaiologos,"Nikephoros Palaiologos, advisor to Romanos IV and Nikephoros III",Male,Male,SonOf
Georgios Maniakes,"Goudelios Maniakes, father of Georgios Maniakes",Male,Male,SonOf
"Georgios, in household of Eustathios Boilas","Abasgos, servant of Eustathios Boilas",Male,Male,SonOf
"Georgios, tax-payer at chorion of Dobrobikeia","Eirotas, father of tax-payer of Dobrobikeia",Male,Male,SonOf
"Georgios, tax-payer at chorion of Dobrobikeia","Staurakios, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Georgios, tax-payer at chorion of Dobrobikeia","Kaletza, mother of tax-payer at Dobrobikeia",Male,Female,SonOf
"Georgios, tax-payer at chorion of Dobrobikeia","Gostri..., father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Georgios, witness of Iveron act","Ratzes, father of Iveron act witness Georgios",Male,Male,SonOf
"Gregoras Nikoulitzas, son of Nikoulitzas Delphinas","Nikoulitzas Delphinas, official at Larissa",Male,Male,SonOf
"Gregorios Pakourianos, megas domestikos",father of Gregorios Pakourianos,Male,Male,SonOf
"Gregorios Pakourianos, megas domestikos",mother of Gregorios Pakourianos,Male,Female,SonOf
"Gregorios, son of Streboulos (of Thessalonike?)","Streboulos, father of Iveron act witness",Male,Male,SonOf
Emperor Ioannes II Komnenos,Emperor Alexios I Komnenos,Male,Male,SonOf
Emperor Ioannes II Komnenos,"Eirene Doukaina, wife of Alexios I",Male,Female,SonOf
"Ioannes VIII Xiphilinos, patriarch of Constantinople",father of Ioannes Xiphilinos,Male,Male,SonOf
"Ioannes VIII Xiphilinos, patriarch of Constantinople",mother of Ioannes Xiphilinos,Male,Female,SonOf
"Ioannes Bryennios, brother of usurper Nikephoros","Anna the kouropalatissa, mother of Nikephoros Bryennios the usurper",Male,Female,SonOf
"Ioannes Komnenos, father of Alexios I","Maria (?), wife of Manuel Komnenos Erotikos",Male,Female,SonOf
"Ioannes Komnenos, father of Alexios I",Manuel Komnenos Erotikos,Male,Male,SonOf
"Barkyaruq, Seljuq sultan","Malik-Shah, Seljuk sultan",,Male,SonOf
"Barkyaruq, Seljuq sultan","freed concubine of sultan Malik-Shah, mother of sultans Muhammad and Sanjar",,,SonOf
"Ioannes Doukas, brother of Eirene Doukaina","Andronikos Doukas, son of the kaisar Ioannes",Male,Male,SonOf
"Ioannes Doukas, brother of Eirene Doukaina","Maria of Bulgaria, wife of Andronikos Doukas",Male,Female,SonOf
"Ioannes Taronites (Taronitopoulos), doux of Skopje","Maria Komnene, sister of Alexios I, wife of Michael Taronites",Male,Female,SonOf
"Ioannes Komnenos, son of the sebastokrator Isaakios","Isaakios Komnenos, elder brother of Alexios I",Male,Male,SonOf
"Ioannes, son of presbyter Chariton (of Thessalonike?)","Chariton, presbyter (at Thessalonike?)",Male,Male,SonOf
"Ioannes, son of Styliane, citizen of Hierissos","Styliane, mother of Ioannes, a citizen of Hierissos",Male,Female,SonOf
"Ioannes Koptocheilos, son of tax-payer at Obilos","Basileios Koptocheilos, tax-payer at chorion of Obilos",Male,Male,SonOf
"Ioannes, tax-payer at chorion of Dobrobikeia","Ivan, father of tax-payer at chorion of Dobrobikeia",Male,Male,SonOf
"Ioannes, tax-payer at chorion of Dobrobikeia","Kyriakos Belaites, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Ioannes Tzertitzas, priest from village of Melitziane","Tzertitzas, father of priest Ioannes of Melitziane",Male,Male,SonOf
"Ioannes, witness of Iveron act","Agathonikos, father of Iveron act witness Ioannes",Male,Male,SonOf
"Ioannes, paroikos of the proasteion of Eunouchou (Strymon)","Tzyrkos, father of paroikos of Eunouchou Ioannes",Male,Male,SonOf
"Ioannes, paroikos of the proasteion of Eunouchou (Strymon)","Zerbos, father of paroikos of Eunouchou Ioannes",Male,Male,SonOf
Emperor Isaakios I Komnenos,"Maria (?), wife of Manuel Komnenos Erotikos",Male,Female,SonOf
Emperor Isaakios I Komnenos,Manuel Komnenos Erotikos,Male,Male,SonOf
"Isaakios Komnenos, elder brother of Alexios I",Anna Dalassene,Male,Female,SonOf
"Kegen, Pecheneg leader","Baltzar, father of Pecheneg leader Kegen",Male,Male,SonOf
Emperor Konstantinos IX Monomachos,"Theodosios Monomachos, cousin of Konstantinos IX",Male,Male,SonOf
Emperor Konstantinos IX Monomachos,"Theodosios Monomachos, father of Konstantinos IX",Male,Male,SonOf
"Konstantinos III Leichoudes, patriarch of Constantinople",father of Konstantinos Leichoudes,Male,Male,SonOf
"Konstantinos Doukas, son of Kaisar Ioannes","Ioannes Doukas, kaisar",Male,Male,SonOf
son of Philaretos Brachamios,Philaretos Brachamios,,Male,SonOf
"Konstantinos Doukas porphyrogennetos, son of Michael VII",Emperor Michael VII Doukas,Male,Male,SonOf
"Konstantinos Doukas porphyrogennetos, son of Michael VII","Maria of Alania, empress",Male,Female,SonOf
"Konstantinos Bodin, king of Duklja","Michael/Mihailo (Michaelas), son of Voislav Stefan",Male,Male,SonOf
"Konstantinos, nephew of patriarch Michael I Keroularios",elder brother of Michael Keroularios,Male,Male,SonOf
"Konstantinos, nephew of patriarch Michael I Keroularios",wife of brother of Michael Keroularios,Male,Female,SonOf
"Konstantinos Doukas, nephew of Eirene Doukaina","Michael Doukas, brother of Eirene Doukaina",Male,,SonOf
"Konstantinos Komnenos, megas droungarios, doux of Berroia","Isaakios Komnenos, elder brother of Alexios I",Male,Male,SonOf
"Konstantinos, son of Kyriakos slave of Eustathios Boilas","Kyriakos, slave of Eustathios Boilas",Male,Male,SonOf
"Konstantinos, tax-payer at chorion of Dobrobikeia","Chotianos, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Konstantinos, presbyter at Daonion","David, father of priest Konstantinos of Daonion",Male,Male,SonOf
"Konstantinos, protopsaltes and donor to Iveron","Maria, sister of Basileios and Merotas Psellos",Male,Female,SonOf
"Konstantios Doukas, brother of Michael VII",Emperor Konstantinos X Doukas,Male,Male,SonOf
"Konstantios Doukas, brother of Michael VII",Empress Eudokia Makrembolitissa,Male,Female,SonOf
"Qutlumish, cousin of Tughrul Beg","Arslan-Israil b. Seljuk, father of Kutulmush",Male,Male,SonOf
"Leon, strategos of Melitene in 1043","Lampros, father of the strategos of Melitene Leon",Male,Male,SonOf
"Leon, witness of Iveron act","Konstantinos, father of Iveron act witness Demetrios",Male,Male,SonOf
"Leon, witness of Iveron act","nomikos and father of Leon, witness of Iveron act",Male,Male,SonOf
"Liparit IV, duke of Trialeti","Horatios Liparites, father of Liparit IV",Male,Male,SonOf
"Mahmud of Ghazni, prince of Khurasan","Imbrael, father of Mahmud of Ghazna",Male,,SonOf
"Manuel Komnenos, eldest brother of Alexios I",Anna Dalassene,Male,Female,SonOf
"Manuel Komnenos, son of Isaakios I",Emperor Isaakios I Komnenos,Male,Male,SonOf
"Melech, son of Ibrahim Yinal","Ibrahim Yinal, half-brother of Tughrul Beg",Male,Male,SonOf
"Merotas Psellos, donor to Iveron","Georgios/Gregorios Psellos, father of Iveron donor Basileios",Male,Male,SonOf
"Merotas Psellos, donor to Iveron","Kale, wife of Georgios/Gregorios Psellos",Male,Female,SonOf
Emperor Michael V Kalaphates,"Maria, sister of Michael IV, mother of Michael V",Male,Female,SonOf
Emperor Michael V Kalaphates,"Stephanos, father of Michael V",Male,Male,SonOf
Emperor Michael VII Doukas,Empress Eudokia Makrembolitissa,Male,Female,SonOf
Emperor Michael VII Doukas,Emperor Konstantinos X Doukas,Male,Male,SonOf
Michael Psellos (named Konstantinos till tonsure in 1054),"Theodote, mother of Michael Psellos",Male,Female,SonOf
Michael Psellos (named Konstantinos till tonsure in 1054),father of Michael Psellos,Male,Male,SonOf
"Michael/Mihailo (Michaelas), son of Voislav Stefan","Voislav Stefan, ruler of the Serbians",Male,Male,SonOf
"Michael, doux of Dyrrachion in 1042","Anastasios, logothetes",Male,Male,SonOf
"Michael, son of Euthymios, leader of alleged rebellion against Konstantinos IX","Euthymios, father of the alleged leaders of a rebellion",Male,Male,SonOf
"Michael Doukas, brother of Eirene Doukaina","Maria of Bulgaria, wife of Andronikos Doukas",,Female,SonOf
"Michael Doukas, brother of Eirene Doukaina","Andronikos Doukas, son of the kaisar Ioannes",,Male,SonOf
"Michael, logothetes of the sekreta and gambros of the Komnenoi","Konstantinos, nephew of patriarch Michael I Keroularios",,Male,SonOf
"Michael, strategos of Ohrid (?), son of Polyeuktos","Polyeuktos, father of Michael the strategos of Ohrid (?)",Male,Male,SonOf
"Anastasios Lizix, patrikios, krites and vestarches",mother of Anastasios Lizix,Male,Female,SonOf
"Michael, in household of Eustathios Boilas","Laskaris, servant of Eustathios Boilas",Male,Male,SonOf
"Michael, tax-payer at chorion of Dobrobikeia","Chotianos, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Michael, archon of Sklaboarchontia","Karseres, father of archon of Sklaboarchontia Michael",Male,Male,SonOf
"Mousilios, spatharokandidatos and tourmarches","Pankratios, father of spatharokandidatos and tourmarches Mouselios",Male,Male,SonOf
"Mouseses, slave of Eustathios Boilas","Garipios, slave of Eustathios Boilas",Male,Male,SonOf
"Nesnanos, tax-payer at chorion of Dobrobikeia","Damianos, father of a tax-payer of Dobrobikeia",Male,Male,SonOf
"Nesnastros, tax-payer at chorion of Dobrobikeia","Kyriakos, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Nikephoros Basilakes, usurper [1078]","Phloros, father of Nikephoros Basilakes",Male,Male,SonOf
Nikephoros Bryennios usurper [1077],"Anna the kouropalatissa, mother of Nikephoros Bryennios the usurper",Male,Female,SonOf
Nikephoros Bryennios usurper [1077],Bryennios the ethnarches,Male,Male,SonOf
"Nikephoros Diogenes, son of Romanos IV",Emperor Romanos IV Diogenes,Female,Male,SonOf
"Nikephoros Diogenes, son of Romanos IV",Empress Eudokia Makrembolitissa,Female,Female,SonOf
"Nikephoros, leader of alleged rebellion against Konstantinos IX","Euthymios, father of the alleged leaders of a rebellion",Male,Male,SonOf
"Nikephoros, nephew of patriarch Michael I Keroularios",elder brother of Michael Keroularios,Male,Male,SonOf
"Nikephoros Melissenos, kaisar","Bourtzes, father of Nikephoros Melissenos",Male,,SonOf
"Nikephoros Komnenos, brother of Alexios I",Anna Dalassene,Male,Female,SonOf
"Nikephoros Bryennios, kaisar, husband of Anna Komnene",Nikephoros Bryennios usurper [1077],Male,Male,SonOf
"Nikephoros, son of Melabas, citizen of Hierissos","Melabas, citizen of Hierissos (?)",Male,Male,SonOf
"Nikolaos, tax-payer at chorion of Dobrobikeia","Georgios, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Pankratios Nikoulitzas, son of Nikoulitzas Delphinas","Nikoulitzas Delphinas, official at Larissa",Male,Male,SonOf
"Petros (Peter) Deljan, Bulgarian rebel","Radomir, son of Samuel of Bulgaria",Male,Male,SonOf
"Petros (Peter) Deljan, Bulgarian rebel","daughter of the Hungarian kral, first wife of Radomir of Bulgaria",Male,Female,SonOf
"Petros III, patriarch of Antioch","mother of Petros II, patriarch of Antioch",Male,,SonOf
"Petros III, patriarch of Antioch","father of Petros III, patriarch of Antioch",Male,,SonOf
"Petros, tax-payer at chorion of Dobrobikeia","Ivan, father of tax-payer at Dobrobikeia",Male,Male,SonOf
"Petros, tax-payer at chorion of Dobrobikeia","Eirotas, father of tax-payer of Dobrobikeia",Male,Male,SonOf
"Photeinos, paroikos at proasteion of Eunouchou (Strymon)","Prodanos, father of Photeinos",Male,Male,SonOf
"Prousianos, son of John Vladislav of Bulgaria","Maria, wife of Ioannes Vladislav of Bulgaria",Male,Female,SonOf
"Radomir, son of Samuel of Bulgaria",Samuel of Bulgaria,Male,Male,SonOf
Emperor Romanos IV Diogenes,"Konstantinos Diogenes, father of Romanos IV",Male,Male,SonOf
"Romanos Skleros, brother of Maria Skleraina",father of Romanos Skleros (brother of Skleraina),Male,Male,SonOf
